species;habitat;diet
allenopithecus_nigroviridis;Others;Herbivore
allocebus_trichotis;Forest;Omnivore
alouatta_belzebul;Forest;Herbivore
alouatta_caraya;Others;Herbivore
alouatta_guariba;Forest;Herbivore
alouatta_macconnelli;Others;Herbivore
alouatta_palliata;Forest;Herbivore
alouatta_pigra;Forest;Herbivore
alouatta_sara;Others;Herbivore
alouatta_seniculus;Others;Herbivore
aotus_brumbacki;Others;Omnivore
aotus_lemurinus;Forest;Omnivore
aotus_nancymaae;Forest;Herbivore
aotus_nigriceps;Forest;Herbivore
aotus_trivirgatus;Forest;Herbivore
aotus_vociferans;Forest;Herbivore
arctocebus_aureus;Forest;Omnivore
arctocebus_calabarensis;Forest;Omnivore
ateles_belzebuth;Forest;Herbivore
ateles_fusciceps;Forest;Herbivore
ateles_geoffroyi;Forest;Herbivore
ateles_hybridus;Forest;Herbivore
ateles_paniscus;Forest;Herbivore
avahi_cleesei;Forest;Herbivore
avahi_laniger;Forest;Herbivore
avahi_occidentalis;Forest;Herbivore
avahi_peyrierasi;Forest;Herbivore
avahi_unicolor;Forest;Herbivore
brachyteles_arachnoides;Forest;Herbivore
brachyteles_hypoxanthus;Forest;Herbivore
cacajao_calvus;Forest;Herbivore
cacajao_melanocephalus;Forest;Herbivore
callicebus_personatus;Forest;Herbivore
callimico_goeldii;Forest;Omnivore
callithrix_aurita;Forest;Omnivore
callithrix_geoffroyi;Others;Omnivore
callithrix_jacchus;Others;Omnivore
callithrix_kuhlii;Forest;Omnivore
callithrix_penicillata;Others;Omnivore
cebus_albifrons;Others;Omnivore
cebus_capucinus;Others;Omnivore
cebus_kaapori;Forest;Omnivore
cebus_olivaceus;Forest;Omnivore
cercocebus_agilis;Forest;Herbivore
cercocebus_atys;Others;Herbivore
cercocebus_chrysogaster;Forest;Herbivore
cercocebus_galeritus;Forest;Herbivore
cercocebus_torquatus;Forest;Herbivore
cercopithecus_campbelli;Others;Herbivore
cercopithecus_cephus;Forest;Herbivore
cercopithecus_denti;Forest;Omnivore
cercopithecus_diana;Forest;Herbivore
cercopithecus_dryas;Forest;Herbivore
cercopithecus_hamlyni;Forest;Omnivore
cercopithecus_mitis;Forest;Herbivore
cercopithecus_mona;Forest;Herbivore
cercopithecus_neglectus;Others;Herbivore
cercopithecus_roloway;Forest;Omnivore
cercopithecus_wolfi;Others;Herbivore
cheirogaleus_crossleyi;Forest;Omnivore
cheirogaleus_major;Forest;Herbivore
cheirogaleus_medius;Forest;Herbivore
cheracebus_lugens;Forest;Herbivore
cheracebus_torquatus;Forest;Herbivore
chiropotes_albinasus;Forest;Herbivore
chiropotes_chiropotes;Forest;Herbivore
chiropotes_satanas;Forest;Herbivore
chiropotes_utahickae;Forest;Herbivore
chlorocebus_aethiops;Others;Omnivore
chlorocebus_cynosuros;Others;Omnivore
chlorocebus_djamdjamensis;Forest;Herbivore
chlorocebus_pygerythrus;Others;Omnivore
chlorocebus_sabaeus;Others;Omnivore
chlorocebus_tantalus;Others;Omnivore
colobus_angolensis;Forest;Herbivore
colobus_guereza;Forest;Herbivore
colobus_polykomos;Forest;Herbivore
colobus_vellerosus;Others;Herbivore
daubentonia_madagascariensis;Others;Omnivore
erythrocebus_patas;Others;Omnivore
eulemur_albifrons;Forest;Herbivore
eulemur_cinereiceps;Forest;Herbivore
eulemur_collaris;Forest;Herbivore
eulemur_coronatus;Forest;Herbivore
eulemur_flavifrons;Forest;Herbivore
eulemur_mongoz;Forest;Herbivore
eulemur_rubriventer;Forest;Herbivore
eulemur_rufifrons;Forest;Herbivore
eulemur_rufus;Forest;Herbivore
eulemur_sanfordi;Forest;Herbivore
euoticus_elegantulus;Forest;Omnivore
galago_matschiei;Forest;Omnivore
galago_moholi;Forest;Omnivore
galago_senegalensis;Others;Omnivore
galagoides_cocos;Forest;Omnivore
galagoides_granti;Forest;Omnivore
galagoides_orinus;Forest;Omnivore
galagoides_rondoensis;Forest;Omnivore
galagoides_thomasi;Forest;Omnivore
gorilla_gorilla;Forest;Herbivore
hapalemur_aureus;Others;Herbivore
hapalemur_griseus;Forest;Herbivore
hoolock_hoolock;Forest;Herbivore
hoolock_leuconedys;Forest;Herbivore
hylobates_agilis;Forest;Herbivore
hylobates_klossii;Forest;Herbivore
hylobates_lar;Forest;Herbivore
hylobates_moloch;Forest;Herbivore
hylobates_muelleri;Forest;Herbivore
hylobates_pileatus;Forest;Herbivore
indri_indri;Forest;Herbivore
lagothrix_cana;Others;Herbivore
lagothrix_poeppigii;Forest;Herbivore
lemur_catta;Others;Herbivore
leontopithecus_chrysomelas;Forest;Omnivore
leontopithecus_rosalia;Forest;Herbivore
lepilemur_ankaranensis;Forest;Herbivore
lepilemur_dorsalis;Forest;Herbivore
lepilemur_edwardsi;Forest;Herbivore
lepilemur_leucopus;Forest;Herbivore
lepilemur_microdon;Forest;Herbivore
lepilemur_mittermeieri;Forest;Herbivore
lepilemur_mustelinus;Forest;Herbivore
lepilemur_petteri;Forest;Herbivore
lepilemur_randrianasoloi;Forest;Herbivore
lepilemur_ruficaudatus;Forest;Herbivore
lepilemur_sahamalazensis;Forest;Herbivore
